,X,...1,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,Contact.Title,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,type,latitude,longitude
26,26,32,Carolina Amateur Swimming,312 Massel Ave SE,Valdese,NC,28690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cvacswimming.org,NA,312 Massel Ave SE Valdese NC 28690,https://www.cvacswimming.org,lessons,35.74036686,-81.56018282
27,27,33,Swim Mac,11725 Verhoeff Drive,Huntersville,NC,28078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,swimmaccarolina.org/swim-school/,NA,11725 Verhoeff Drive Huntersville NC 28078,https://www.swimmaccarolina.org/swim-school/,lessons,35.39104821,-80.84549461
28,28,34,Catawba Valley Aquatic Club,475 26th Ave NE # E,Hickory,NC,28601,1898,NA,NA,NA,8280001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Catawba,16,971000,cvacswimming.org,2021,475 26th Ave NE # E Hickory NC 28601,https://www.cvacswimming.org,lessons,35.76499392,-81.32405857
29,29,35,Chapel Hill Swim School,1728 Fordham Blvd,Chapel Hill,NC,27514,2397,Art,Cornell,Regional Mgr,9199183803,Swimming Instruction,611620,NA,NA,NA,NA,Private,Orange,2,142000,goldfishswimschool.com,2019,1728 Fordham Blvd Chapel Hill NC 27514,https://www.goldfishswimschool.com,lessons,35.93627232,-79.02330831
30,30,36,Goldfish Swim School,3367 Battleground Ave,Greensboro,NC,27410,NA,NA,NA,NA,(336) 396-5522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goldfishswimschool.com,NA,3367 Battleground Ave Greensboro NC 27410,https://www.goldfishswimschool.com,lessons,36.12344175,-79.84632264
31,31,37,Goldfish Swim School,125 Nova Dr,Morrisville,NC,27560,NA,NA,NA,NA,Ê(984) 464-6623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goldfishswimschool.com,NA,125 Nova Dr Morrisville NC 27560,https://www.goldfishswimschool.com,lessons,35.84189003,-78.81387665
32,32,38,BigBlue Swim School,8623 Concord Mills Boulevard,Concord,NC,28027,NA,NA,NA,NA,Ê(980) 737-0551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigblueswimschool.com,NA,8623 Concord Mills Boulevard Concord NC 28027,https://www.bigblueswimschool.com,lessons,35.37425786,-80.72656742
33,33,39,BigBlue Swim School,1041 Beaver Creek Commons Dr,Apex,NC,27502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigblueswimschool.com,NA,1041 Beaver Creek Commons Dr Apex NC 27502,https://www.bigblueswimschool.com,lessons,35.74478388,-78.87293813
34,34,40,BigBlue Swim School,7643 Pineville-Matthews Road,Charlotte,NC,28226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigblueswimschool.com,NA,7643 Pineville-Matthews Road Charlotte NC 28226,https://www.bigblueswimschool.com,lessons,35.08765266,-80.84861325
35,35,41,Charlotte Swim Academy,9315 Monroe Rd # A,Charlotte,NC,28270,1427,Martha S,Crowley,Owner,7048465343,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,20,1004000,charlotteswimacademy.com,1991,9315 Monroe Rd # A Charlotte NC 28270,https://www.charlotteswimacademy.com,lessons,35.14448795,-80.74195655
36,36,42,Chimneys of Marvin Swim Team,2601 Creek Manor Dr,Waxhaw,NC,28173,NA,Christopher,Xistris,Owner,7040001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Union,2,142000,makosswim.swimtopia.com,2015,2601 Creek Manor Dr Waxhaw NC 28173,https://www.makosswim.swimtopia.com,lessons,34.96856709,-80.80675532
37,37,44,Davis Lake Dolphins Swim Team,5044 Poplar Grove Dr,Charlotte,NC,28269,405,Dawn,Queen,Manager,7040001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,4,201000,davislake.org/swim/,2017,5044 Poplar Grove Dr Charlotte NC 28269,https://www.davislake.org/swim/,lessons,35.34293698,-80.81568644
38,38,46,Goldfish Swim Sch-Wake Forest,14460 Fls of Neuse Rd # 107,Raleigh,NC,27614,8227,James,Broderick,General Mgr,9193354686,Swimming Instruction,611620,713940,NA,NA,NA,Private,Wake,5,257000,goldfishswimschool.com,2018,14460 Fls of Neuse Rd # 107 Raleigh NC 27614,https://www.goldfishswimschool.com,lessons,35.94574911,-78.54337021
39,39,47,Goldfish Swim School-Cary,2980 Kildaire Farm Rd,Cary,NC,27518,8965,Michael,Meilleur,Owner,9196269276,Swimming Instruction,611620,713940,NA,NA,NA,Private,Wake,3,257000,goldfishswimschool.com,2018,2980 Kildaire Farm Rd Cary NC 27518,https://www.goldfishswimschool.com,lessons,35.71708113,-78.78786281
40,40,48,Goldfish Swim School-Chapel Hl,1728 Fordham Blvd # 143,Chapel Hill,NC,27514,2332,NA,NA,NA,9193720873,Swimming Instruction,611620,713940,NA,NA,NA,Private,Orange,3,283000,goldfishswimschool.com,2019,1728 Fordham Blvd # 143 Chapel Hill NC 27514,https://www.goldfishswimschool.com,lessons,35.93627232,-79.02330831
41,41,49,Goldfish Swim School-Charlotte,13403 S Ridge Dr,Charlotte,NC,28273,4710,NA,NA,NA,7049468144,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,4,201000,goldfishswimschool.com,2018,13403 S Ridge Dr Charlotte NC 28273,https://www.goldfishswimschool.com,lessons,35.11258308,-80.9605352
42,42,50,Gypsy Divers,3651 Bastion Ln,Raleigh,NC,27604,3861,Alivia,Masters,Manager,9192551931,Swimming Instruction,611620,611620,NA,NA,NA,Private,Wake,10,641000,gypsydivers.com,2001,3651 Bastion Ln Raleigh NC 27604,https://www.gypsydivers.com,lessons,35.79845317,-78.58331878
43,43,51,Harrington Grove Swim & Racket Club,12201 New Leesville Blvd,Raleigh,NC,27613,7832,Fran,Bourke,Manager,9198489395,Swimming Instruction,611620,713990,813319,NA,NA,Private,Wake,2,129000,hgsrclub.com,2019,12201 New Leesville Blvd Raleigh NC 27613,https://www.hgsrclub.com,lessons,35.92694591,-78.74894092
44,44,52,High Point Swim Club,1705 Whitehall St,High Point,NC,27262,2041,Aaron,Reeves,Manager,3368874772,Swimming Instruction,611620,813319,NA,NA,NA,Private,Guilford,2,138000,teamunify.com,1992,1705 Whitehall St High Point NC 27262,https://www.teamunify.com,lessons,35.97821573,-80.02935934
45,45,53,Highcroft Hurricanes Swim Team,5115 Highcroft Drive,Cary,NC,27519,8404,Rahul,Talwar,Manager,9190001111,Swimming Instruction,611620,813319,813410,NA,NA,Private,Wake,10,1025000,highcrofthurricanes.com,2021,5115 Highcroft Drive Cary NC 27519,https://www.highcrofthurricanes.com,lessons,35.804737,-78.88611489
46,46,54,Hilton Garden Inn Durham British swim school,7007 Fayetteville Rd,Durham,NC,27713,8725,Jared,Reed,General Mgr,9193913752,Swimming Instruction,611620,722511,721110,713940,NA,Private,Durham,40,15254000,britishswimschool.com,2007,7007 Fayetteville Rd Durham NC 27713,https://www.britishswimschool.com,lessons,35.90224164,-78.93935273
47,47,56,Lawson Swim Team,2409 Surveyor General Dr,Waxhaw,NC,28173,17,Allison,Bevacqua,Manager,7040001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Union,4,189000,lawsonsailfish.swimtopia.com,2017,2409 Surveyor General Dr Waxhaw NC 28173,https://www.lawsonsailfish.swimtopia.com,lessons,34.96722766,-80.74738283
48,48,57,Little Otter Swim School,14415 Reese Blvd W,Huntersville,NC,28078,7912,Lory,Kirk,Owner,7048467946,Swimming Instruction,611620,713940,611110,NA,NA,Private,Mecklenburg,4,201000,littleotterswim.com,2005,14415 Reese Blvd W Huntersville NC 28078,https://www.littleotterswim.com,lessons,35.40932704,-80.86348011
49,49,58,Little Otter Swim School,8200 Tower Point Dr,Charlotte,NC,28227,6745,John,Kirk,Owner,7048467946,Swimming Instruction,611620,713940,611110,NA,NA,Private,Mecklenburg,20,1004000,littleotterswim.com,2005,8200 Tower Point Dr Charlotte NC 28227,https://www.littleotterswim.com,lessons,35.14637252,-80.73628548
50,50,59,Macaulay Marlins Swim Team,10340 Vixen Lane,Huntersville,NC,28078,2266,NA,NA,NA,7040001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,3,151000,macaulaymarlins.swimtopia.com,2017,10340 Vixen Lane Huntersville NC 28078,https://www.macaulaymarlins.swimtopia.com,lessons,35.43742083,-80.85137366
51,51,60,The North Star Swim Team,6213 Bell's Mill Drive,Charlotte,NC,28269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northstarswim.swimtopia.com,NA,6213 Bell's Mill Drive Charlotte NC 28269,https://www.northstarswim.swimtopia.com,lessons,35.37846598,-80.75061084
52,52,61,The North Star Swim Team,15801 NorthStone Drive,Huntersville,NC,28078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northstarswim.swimtopia.com,NA,15801 NorthStone Drive Huntersville NC 28078,https://www.northstarswim.swimtopia.com,lessons,35.43242128,-80.82162272
53,53,62,The North Star Swim Team,19101 Peninsula Club Dr,Cornelius,NC,28031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northstarswim.swimtopia.com,NA,19101 Peninsula Club Dr Cornelius NC 28031,https://www.northstarswim.swimtopia.com,lessons,35.46917788,-80.91309278
54,54,63,The North Star Swim Team,18801 Greyton Ln,Davidson,NC,28036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northstarswim.swimtopia.com,NA,18801 Greyton Ln Davidson NC 28036,https://www.northstarswim.swimtopia.com,lessons,35.46966842,-80.788485
55,55,64,The North Star Swim Team,14301 Wynfield Creek Pkwy,Huntersville,NC,28078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northstarswim.swimtopia.com,NA,14301 Wynfield Creek Pkwy Huntersville NC 28078,https://www.northstarswim.swimtopia.com,lessons,35.4064543,-80.87784534
56,56,65,The North Star Swim Team,16023 Hallaton Drive,Huntersville,NC,28078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16023 Hallaton Drive Huntersville NC 28078,,lessons,35.42656227,-80.87836551
57,57,66,Makos Swim Club,800 Granite Falls Blvd,Rolesville,NC,27571,9725,Blair,Crosscup,Manager,9190001111,Swimming Instruction,611620,813319,NA,NA,NA,Private,Wake,2,129000,granitefallsclub.com,2017,800 Granite Falls Blvd Rolesville NC 27571,https://www.granitefallsclub.com,lessons,35.92821218,-78.46272069
58,58,67,Marlins of Raleigh Team,120 School Chapel Dr.,Raleigh,NA,27603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,120 School Chapel Dr. Raleigh NA 27603,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.78311356,-78.65395219
59,59,68,Marlins of Raleigh Team,410 Ashe Ave,Raleigh,NA,27606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,410 Ashe Ave Raleigh NA 27606,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.77938508,-78.66192745
60,60,70,Marlins of Raleigh Team,4200 Hillsborough St,Raleigh,NA,27607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,4200 Hillsborough St Raleigh NA 27607,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.79580711,-78.70058823
61,61,71,Marlins of Raleigh Team,4905 North Hills Dr,Raleigh,NA,27612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,4905 North Hills Dr Raleigh NA 27612,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.84424232,-78.66134566
62,62,72,Marlins of Raleigh Team,1401 Evans Rd,Raleigh,NA,27513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,1401 Evans Rd Raleigh NA 27513,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.81339817,-78.79519759
63,63,73,Marlins of Raleigh Team,5902 Whittier Dr,Raleigh,NA,27609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,5902 Whittier Dr Raleigh NA 27609,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.86256643,-78.64358062
64,64,74,Marlins of Raleigh Team,7409 Falls of Neuse Rd,Raleigh,NA,27615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,7409 Falls of Neuse Rd Raleigh NA 27615,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.88139022,-78.62597112
65,65,75,Marlins of Raleigh Team,4905 North Hills Dr,Raleigh,NA,27612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,4905 North Hills Dr Raleigh NA 27612,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.84424232,-78.66134566
66,66,76,Marlins of Raleigh Team,1300 Falls River Ave,Raleigh,Sea Devils Swim Team,27614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,1300 Falls River Ave Raleigh Sea Devils Swim Team 27614,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.91060792,-78.58766583
67,67,77,Marlins of Raleigh Team,10316 Boxelder Dr,Raleigh,NA,27613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,10316 Boxelder Dr Raleigh NA 27613,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.92577648,-78.71894495
68,68,78,Marlins of Raleigh Team,205 Athletic Club Blvd,Clayton,NA,27527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,205 Athletic Club Blvd Clayton NA 27527,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.69368081,-78.42280089
69,69,79,Marlins of Raleigh Team,1401 Evans Rd,Cary,NA,27513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gomotionapp.com/team/ncmrwa/page/pools,NA,1401 Evans Rd Cary NA 27513,https://www.gomotionapp.com/team/ncmrwa/page/pools,lessons,35.81339817,-78.79519759
70,70,80,Mecklenburg Aquatic Club,9850 Providence Rd,Charlotte,NC,28277,202,Toni,Branner,Director,9803398900,Swimming Instruction,611620,713940,813319,813410,NA,Private,Mecklenburg,85,4264000,swimmaccarolina.org,1990,9850 Providence Rd Charlotte NC 28277,https://www.swimmaccarolina.org,lessons,35.07543177,-80.7728349
71,71,81,"Miller Swimming, Fairmeadows Swim Club",2800 Eastburn Rd,Charlotte,NC,28210,NA,Douglas,Miller,Manager,7040001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,2,101000,millerswimming.com/start-today,2020,2800 Eastburn Rd Charlotte NC 28210,https://www.millerswimming.com/start-today,lessons,35.1468034,-80.83662024
72,72,82,North Raleigh Swim Club & Team,8105 Haymarket Ln,Raleigh,NC,27615,5451,NA,NA,NA,9198447260,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,2,129000,northraleighswimclub.com,2015,8105 Haymarket Ln Raleigh NC 27615,https://www.northraleighswimclub.com,lessons,35.89463819,-78.61278887
72,72,82,North Raleigh Swim Club ,8105 Haymarket Ln,Raleigh,NC,27615,5451,NA,NA,NA,9198447260,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,2,129000,northraleighswimclub.com,2015,8105 Haymarket Ln Raleigh NC 27615,https://www.northraleighswimclub.com,lessons,35.89463819,-78.61278887
73,73,85,Open Water Adventures Diving & Swimming,12210 N Tryon St,Charlotte,NC,28262,1631,Joe,Gaydeski,Owner,7045475991,Swimming Instruction,611620,459110,541990,713990,611620,Private,Mecklenburg,20,1004000,openwateradventures.com,1996,12210 N Tryon St Charlotte NC 28262,https://www.openwateradventures.com,lessons,35.33920373,-80.7046386
74,74,86,PHD Swim School,2105 E Nc Highway 54,Durham,NC,27713,5235,Katie,Cleary,Owner,9199731792,Swimming Instruction,611620,NA,NA,NA,NA,Private,Durham,8,645000,phdswimschool.com,2018,2105 E Nc Highway 54 Durham NC 27713,https://www.phdswimschool.com,lessons,35.90252223,-78.89536851
75,75,87,Pinebrook Swim Club & Team,601 Eagle Rd,Belmont,NC,28012,3750,Beth,Hollars,President,7048255016,Swimming Instruction,611620,813319,NA,NA,NA,Private,Gaston,10,554000,pinebrookswimclub.com,2009,601 Eagle Rd Belmont NC 28012,https://www.pinebrookswimclub.com,lessons,35.23834964,-81.05836279
76,76,88,Raleigh Swimming ,1013 Jones Franklin Rd,Raleigh,NC,27606,3308,Ann,Stephenson,Director,9198594881,Swimming Instruction,611620,813319,813910,NA,NA,Private,Wake,10,641000,swimrsa.org,1989,1013 Jones Franklin Rd Raleigh NC 27606,https://www.swimrsa.org,lessons,35.76732053,-78.72510481
76,76,88,Raleigh Swimming & Team,1013 Jones Franklin Rd,Raleigh,NC,27606,3308,Ann,Stephenson,Director,9198594881,Swimming Instruction,611620,813319,813910,NA,NA,Private,Wake,10,641000,swimrsa.org,1989,1013 Jones Franklin Rd Raleigh NC 27606,https://www.swimrsa.org,lessons,35.76732053,-78.72510481
77,77,89,Raynez Swim School,3205 Raynez Dr,Greenville,NC,27858,8474,Ray,Martinez,Owner,2527564900,Swimming Instruction,611620,713940,NA,NA,NA,Private,Pitt,25,1627000,raynez.com,1960,3205 Raynez Dr Greenville NC 27858,https://www.raynez.com,lessons,35.56738987,-77.32696007
78,78,90,Rondave's Swim Academy,1 University Rd,Pembroke,NC,28372,8699,NA,NA,NA,9107754629,Swimming Instruction,611620,NA,NA,NA,NA,Private,Robeson,2,116000,NA,2013,1 University Rd Pembroke NC 28372,,lessons,34.69411447,-79.19816819
79,79,91,Swim MSA,7823 Sardis Rd,Charlotte,NC,28270,2757,NA,NA,NA,7045438225,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,4,201000,msaswim.com,2013,7823 Sardis Rd Charlotte NC 28270,https://www.msaswim.com,lessons,35.1344957,-80.76410972
80,80,92,Triangle Swim School,6210 Plantation Center Dr,Raleigh,NC,27616,5192,Lesa,Brock,Director,9199775362,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,4,257000,triangleswimschool.com,2018,6210 Plantation Center Dr Raleigh NC 27616,https://www.triangleswimschool.com,lessons,35.87186609,-78.58342493
81,81,93,Triangle Swim School,280 Towerview Court,Cary,NC,27513,4257,Christina,Davoile,Other,9199775362,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,3,129000,triangleswimschool.com,2018,280 Towerview Court Cary NC 27513,https://www.triangleswimschool.com,lessons,35.80249006,-78.81214547
82,82,94,Waterford Swim Team,1600 Slane Road,Clemmons,NC,27012,9148,NA,NA,NA,3360001111,Swimming Instruction,611620,NA,NA,NA,NA,Private,Forsyth,2,153000,facebook.com/waterfordstingrays/,2019,1600 Slane Road Clemmons NC 27012,https://www.facebook.com/waterfordstingrays/,lessons,36.03531506,-80.41063196
